file_id,user_id,subforum_id,num_contexts,label,texts,group
13456696_1,572219,1396,2,noHate,"[QUOTE=Trotis;10497843]Isn't South African chocolate made by overseas companies based in SA ? ( British and Swiss ) Would a `` Mars bar '' taste different made in SA compared to one in England ? / QUOTE ] I would have thought so too , but the stuff tastes different .",train
13456696_8,572219,1396,2,noHate,And then there is the pesticides on your fresh ( ? ) fruit and veggies .,train
13456696_11,572219,1396,2,noHate,"Hell , the way we are deliberately poisoning ourselves I 'm surprised we have lasted this long !",train
13456921_1,578990,1347,0,hate,"If not kept in check , we may very will be living in an actual Planet of the Apes soon .",train
13460017_2,582330,1347,0,noHate,"( If you click the video , the video comments are full of self-hating whites ) : YouTube - BAKA RAINFOREST PEOPLE YODELLERS",train
13461719_2,575756,1347,2,hate,As soon as I hear them uttering their monkey gibberish I feel like smashing my computer screen with my fist .,train
13462533_2,579056,1347,2,noHate,I hope this will catch on like the 14 words .,train
13467569_3,574152,1346,2,hate,I can picture him as that baby monkey on the ' save the rainforest comercial or whatever,train
13477084_2,572059,1346,2,hate,I have a dream - one of these days Black occupation of America will be history !,test
13477295_1,572087,1345,2,hate,"Pathological killers , they are .",test
13477295_2,572087,1345,2,hate,Jews have been poisoning wells since Biblical times .,test
13477295_3,572087,1345,2,hate,No wonder we are in such bad shape with this tribe in charge of the White House and Congress .,train
13477865_1,572224,1346,0,hate,The Jew represents the snake .,train
13477865_2,572224,1346,1,hate,All you need is to cut off it 's head and the rest of the problems will crumble away with ease,test
13480997_1,573561,1345,3,hate,"I hate to see such beautiful white females become victims of these sick , violent merciless animals .",train
13480997_2,573561,1345,0,hate,Separation is the only answer !,train
13484158_1,579086,1345,1,hate,While they are in prison the kikes should get the same food the regular prison population gets ...,test
13484158_2,579086,1345,1,hate,Who the hell cares if its not kosher ...,train
13484565_1,581444,1345,2,hate,"i've felt anger when i 've read it on forum , but we have to do our part and speaking at loud voice this fact , because , for example , i 'm from europe and this fact is not pased on tv news or in the news paper ... knows your enemies is the first pass for vicory on them !",train
13488146_2,585682,1395,2,hate,We are more concerned about ZOG controlling US and Russia .,train
13488914_1,575554,1395,0,hate,"Why do n't White Europeans and Americans grow a set of balls , and deport these Black and brown animals from their countries ?",test
13491591_1,575250,1395,0,noHate,"Another EuroRus update , more video and photos ! [ gvideo ] http://video.google.com/videoplay ? docid = 5268894597794277031 [ /gvideo ] A Fascinating Conversation Between Dr. Alfred Vierling & Dr. Duke !",train
13492064_2,576293,1395,2,noHate,"Ignore the genocide on Serbs , turn your back on your own people .",train
13499007_2,585703,1395,0,noHate,"I just bought two CD 's featuring the Russian Radio Chorus Orchestra , Orchestra Vladimir Avramow , and St. Petersburg Balaika Ensemble playing such songs as St. Petersburg , Why Should I Be Sad , Dark Night , The Long Way , Wolga , So Many Days , Nastassja , Two Guitars , Fields , Hai-Da Trojka , Bandura , Tschubtschik , Troika , The Cossack , Our Little Village , Stenka Rasin , and many others .",train
13499007_3,585703,1395,0,noHate,"I was recently in Zaporojie , Ukraine , which has a famous Cossack enclave , where I had the opportunity to dine at a Cossack restaurant and listen to traditional Cossack music played live .",train
13503555_1,575787,1345,0,hate,SEX: MALE RACE : BLACK D.O.B : 08-24-1950 HEIGHT : 5 ' 11 WEIGHT : 180 EYE : BROWN HAIR BLACK In Custody For : 001 MISDEMEANOR COUNT OF CRIMINAL TRESPASS 2ND DEG This dude looks like an olde version of Cornielious from `` Planet of the Apes '' !,train
13506182_1,586372,1395,1,hate,Because the communist party was almost all jew out to kill any gentile that stood in their way or had property that the jew - communist wanted .,train
13507183_1,573278,1345,0,hate,"Couple Befriend Negroid , Negroid Tries To Burn Down Couples Home - NNN Reporters Newsroom Forum Moblie Couple Says Neighbor Tried to Set Their Apartment on Fire Reported by : Irika Sargent Last Update : 4/25 9 : 01 pm Moblie Couple Says Neighbor Tried to Set Their Apartment on Fire | Local15tv.com , Mobile & Pensacola News , Entertainment , Videos , Business Search and Shopping This is what happens when you make friends with spearchuckers .",train
13547398_2,580757,1345,0,hate,Shows some interesting statistics about the jew rats ...,train
13597435_3,573835,1393,0,noHate,Interesting .,train
13604801_2,589629,1393,0,hate,The blacks and browns are detroying sweden and nobody does anything about it ! : madex : madex : madex,train
13604948_1,572043,1393,0,hate,"The only thing manipulated here are the minds of few foreigners , who reckon they can live amongest superiour , pagan blood .",train
13605248_6,579436,1393,1,hate,"Denmark : 2.3 ( 2001 ) , 1.1 ( 2002 ) , 0.9 ( 2003 ) , 0.6 ( 2004 ) . ( assuming population of 5.4 million ) Good job Denmark !",train
13605248_8,579436,1393,1,noHate,"Norway : 3.3 ( 2001 ) , 3.9 ( 2002 ) , 3.5 ( 2003 ) , 1.8 ( 2004 ) . ( assuming population of 4.5 million ) Sweden : 2.6 ( 2001 ) , 3.7 ( 2002 ) , 3.5 ( 2003 ) , 2.6 ( 2004 ) . ( assuming population of 8.9 million ) Iceland is at about 0.2 .",test
13609323_2,581207,1393,1,noHate,Read the earlier posts and see that there are still lots of non-whites coming to Denmark .,train
13843249_1,591099,1391,0,hate,i get what your saying and there are thousands of non irish here who will never contribute anything to this land .,train
13843422_1,592421,1391,0,hate,"unless you are a tourist or here the study for a year or two please just go back Russian , we dont need or want more slavs",train
13843729_1,579630,1391,0,hate,What a load of crap.Water are ye people for real Ireland is been taken over by non Irish and this rubbish .,train
13844126_1,592479,1391,0,hate,I hate the word racist it makes people being called racist think that they are doing something wrong when they the immigrants coming here are doing something wrong,train
13846521_1,592499,1391,2,noHate,"No I was asking for a link for were it says their banning the celtic cross , but thanks for the link i 'll check it out .",train
13848611_1,592499,1391,0,noHate,If they have some marches and what not about showing pride in their culture you guys should go out and do the same If you could try and contact people you know in different cities and see if their willing to do the same .,test
13855496_1,587508,1391,7,hate,Watching those videos makes me feel like im going to explode with hatred for those creatures .,train
13857116_1,586778,1391,1,hate,This filth is a sectarian British song not an Irish folk song the sort of scum who wrote and admire this filth have no place on a WN forum yet alone an Irish forum,train
13857781_1,573642,1391,1,noHate,"During the early punk scene , he was always seen decked out in a Union flag blazer , then all a sudden , an instant nationality transplant .",test
13861429_1,592755,1391,1,hate,Its a disgrace my sister has been on the waiting list for 6 years and their giving away houses to these scumbags,test
13863356_1,582579,1391,0,noHate,The Church of Ireland Archbishop of Dublin has called for an amnesty for immigrants who have been in Ireland for five years or more without their status being resolved .,train
13864766_1,591125,1391,2,noHate,"Thankfully, the C.W. Camp-Out will go ahead this year .",train
13864827_2,591107,1391,3,noHate,Is this true ?,train
13865807_1,574905,1391,1,noHate,These people who want foreign aid increased are the same people who walk past irish people living rough on the streets and they do n't care about the old people who the government ignores .,test
14023352_1,572037,1387,0,hate,put the kids in a ophanage and arrest the whore of a mother to a point of not having more biracial kids 8 kids have to suffer all their lives to due a whore,train
14025960_1,595718,1387,1,noHate,"I have to admit I do n't think I 've ever met a Briton ??? and I am English , so you must know something that I do n't know ??? , good for you .",train
14025960_2,595718,1387,1,hate,"What I do know is that I live on a small Island and it seems that a lot of people from various countries in the world are willing to desert their homelands and their families just to come here , in my mind that tells me a lot about said people and their home countries , most of all it highlights their weaknesses of how their own countries have let them down and how they feel the need to feed off somebody elses country , how should we English interpret this without sounding rude ??? , locust ??? , parasite ??? , you tell me .",test
14025960_3,595718,1387,1,noHate,I base this post on the fact that I live a few hundred yards from the house I was born in and have never felt the desire to suck the milk from anything other than an English nipple .,train
14026466_2,572653,1387,2,noHate,I have this vision of a left christian screeching ' the meek shall inherit the earth `` as a member of the peaceful religion goes a chopping .... humour .,train
14026780_1,574902,1387,1,hate,Why would you want to see this pollution spread further into our gene pool ?,train
14026780_2,574902,1387,1,hate,Thank the Gods she has chosen to go with her own kind .,train
14031472_1,596265,1387,2,noHate,"i do this and the looks i get out of disgust are regular but i happily carry on walking and laugh them off , they think showing me a few pictures of negro kids on a poster without a burger is going to make me want to give money to them ?",test
14032559_1,595825,1387,4,hate,ye i heard that one to. or ' we all came from Africa any way so why dose it matter ' ........ my answer ? ' we evolved to be better',train
14032740_1,574284,1387,0,noHate,Hello to all my friends here on the forum .,train
14032740_2,574284,1387,0,hate,"Well , the warm weather is coming in and guess what , I now have to painstakingly endure all the offspring of these immigrants , Africans , foeigners ( Im putting them all because there is that many of them ) all playing out the front of the flats in the small garden area , screeching and shouting and their hyena pitched laughing .",train
14032740_9,574284,1387,0,noHate,"There must have been about 10 of them , all black , and others coming in to join them .",train
14032740_10,574284,1387,0,noHate,There was not one white child amongst them .,train
14034693_1,595936,1387,0,hate,"Every time I see a black security guard they are either sat down or on the phone , they have no proffesionalism whatsoever .",train
14034808_1,572357,1387,0,hate,"Yes, more homosexual degeneracy foisted upon the silent majority .",train
14034808_2,572357,1387,1,noHate,Dare to speak out in a country with supposed free speech and you 're labelled a bigot !,test
14039676_1,595718,1387,0,noHate,Do you mean ......,train
14039896_1,578507,1387,3,hate,"Yeah, we could do with the same amount of black rapists as the Nordic countries are privileged enough to have .",train
14060302_2,572837,1383,2,noHate,I enjoy when a Brit comes in and tells Bulgarians everything they need to know about themselves .,train
14062890_1,597491,1383,0,hate,Hi everyone .... I 'm from Slovenia and I utterly hate every living muslim in this world ....... and I despise even the dead ones,test
14064480_4,574824,1383,0,noHate,"In fact , this year this `` event '' is going to be this weekend .",train
14068428_1,575256,1383,0,noHate,"If Bulgarians are n't slavic , then it 's perhaps time for the rest of them to seek a new name for themselves , cos it 's us that used that ethnonym first , dig ?",train
14068441_1,597594,1383,3,hate,"All of ukraine is Russia/Poland/Romania , you fake ukrainians .",train
14071005_1,572097,1383,0,hate,"Like it or not , and I certainly do n't , but Ireland , especially NI is littered with memorials to , and even statues of , red terrorists .",train
14074039_1,579750,1383,0,hate,I stumbled n this by accident Absolute savages and yet you will have all the liberal women saying how great multiculturalism is and we are all the same Le TÃ © lÃ © gramme - France - Montpellier ( 34 ) .,train
14077385_1,591048,1383,0,noHate,It's a start .,train
14077385_2,591048,1383,2,hate,Hopefully they do n't get intimidated by the enemies of our land and of our freedom - those antifa scum .,train
14080747_1,579408,1383,1,hate,The powers that be want all Whites dumbed down with Negro blood .,train
14080747_2,579408,1383,1,hate,They all need to be sent back to Afreka along with the Joos that control our politicians .,train
14095579_1,573498,1381,2,hate,I so hope that coon got life in jail or the death penaltyYou did and are doing the best you can nobody can ask for more .,train
14098049_1,598939,1381,2,noHate,"LOL, pillow count means nothing , there are actually five ...",train
14099272_1,597909,1381,0,noHate,"Hi, I am in Nor Cal and there are many other like minded people here too .",train
14100290_1,599197,1381,0,noHate,"I think I will post one , I placed my profile on Eurodate a few days ago .",train
14100782_1,580983,1381,0,noHate,Everyone on my MSN gets all manner of pics ( ) but I 've never put any up here so here goes Some pics from about a year ago and a small anigif from a week ago heh Robin,test
14103292_2,599555,1381,0,noHate,I was really excited to come across this site full of like minded people !,train
14105677_1,599719,1381,0,noHate,i saw it on opp.now i know what your name stands for.congrats you have a nice looking boyfriend.i read opp once and awhile to see if they took my pic off of here yet and put it on there .,train
14106678_1,599971,1381,0,hate,"DuetschGirlTX, No I live in a tiny ass town where i am only one of 100 white folks ( maybe less ) . near San Antonio. there are so many dirts around and they all stick together. so when it comes to a White Girl in this town i gotta have my own back ALWAYS Is that where you are ?",test
14107440_1,589935,1381,0,noHate,"He never mentioned anything about the lack of white women on Stormfront .... He is looking for Proud , White Women in Florida",train
14110686_3,600584,1381,0,noHate,The work involves : selling sporting goods and assisting customers with questions or problems .,test
14110686_5,600584,1381,0,hate,Hiring someone from this website should ensure we do n't hire undesirables .,train
14110790_1,600196,1381,0,noHate,looking for proud white female in ohio for friends and maybe more .,train
14263949_2,572095,1380,0,noHate,- YouTube Big Mtn snow makes great dog flips - YouTube New Years Eve Fireworks and Torchlight Parade on Big Mountain - YouTube,train
14297717_1,601519,1380,0,noHate,"88 all , this is my first post and i 've read this whole thread so i guess I have a few comment 's , let 's start , shall we ?",test
14298778_1,579203,1380,0,noHate,This is my next read .,test
14419990_1,572711,1375,0,hate,The Jewish race is without any doubt the greatest threat to the survival of the White race .,test
14658274_2,604689,1371,0,hate,Both Asians and whites are composed and calm and blacks seem to have no self control .,test
14668596_1,579280,1371,2,hate,"Exactly, they want us to lay down and die .",test
14668596_2,579280,1371,2,hate,"By their words and deeds , they declare themselves to be staunchly in favor of the genocide of our people .",test
14669137_3,572231,1371,3,noHate,A pile of burned offerings .,test
14670222_1,614078,1371,0,hate,"Gay marriage has no place in any society , regardless of your race and culture.It destroys , morals , values , and the future of your offspring that will keep your race and culture alive.Regardless of your race and culture , homosexuality and gay marriage is the genocide of mankind .",test
14674224_1,577613,1371,0,hate,The Black race is yet to invent any kind of civilization .,test
14675522_1,573598,1371,0,noHate,What does any of that have to do with racial preservation and the resistance to the deliberate and calculated extermination of the White race and the destruction of western civilization which 99 % of the members of this site are concerned with ?,test
14675562_1,577118,1371,3,noHate,They almost always choose to identify with blacks more than whites .,test
14675958_1,575768,1371,0,hate,"The White race is best because when the Creator made Whites , He made them better than He made the other races .",test
30407607_2,573365,1359,0,noHate,Ya got a virgin shooter .,test
30451947_2,574600,1388,0,noHate,I 'm hoping things will continue to grow with our smaller meets and will make for a good turn out at our events this year !,test
30462337_5,574434,1362,0,noHate,Nothing happened except I got an 88 % on the paper .,test
30471791_2,737739,1388,6,hate,All of our tim hortons are staffed by those nast filipinos and every single town is full of Indians and asians .,test
30480938_1,735180,1388,0,hate,"We need to deport all nonwhites immediately , that or stop letting more in and sterilize the ones here , that will fix the problem .",test
30565021_2,572726,1348,0,noHate,"I enjoyed playing the game when I was a kid , but I never enjoyed watching it on TV .",test
30571520_5,574214,1359,0,noHate,"An even smaller pellet is probably ideal , #4 Buck , perhaps .",test
30622804_1,576641,1359,0,noHate,"I'm more of a grappler than a striker , I would lunge out with a windpipe grab and bring them down to the floor .... my record for KO' ing someone with a choke is currently 3 secs",test
30644511_3,585121,1348,0,noHate,Little kids all decked out in their costumes .,test
30670272_1,575127,1362,2,hate,"Dude stink bomb this event , when it gets dark , chuck a bunch of them on the floor , different spots , when the chimps start jiving and grooving , they will step on them .",test
30729164_2,574091,1362,2,hate,They will eventually kill off the whites and go back to the jungle ways .,test
30773912_1,575891,1362,0,noHate,"I'm too lazy to reread , did he say ' Teacher `` or '' Teacher 's asst . "" ?",test
31454467_1,574041,1346,2,noHate,"Agreed! rep will have to wait though .. Cheap money , massive bailouts of crony banksters , manipulated employment figures , etc , etc , ..",test
31730740_2,626659,1363,0,noHate,- = Wulfi = -,test
31744038_1,586887,1363,0,hate,LOL GJ brother 10 points for the Uber humans and - 10 for the sub human ape creatures you are truly one bad mofo whitey crakker man,test
31757382_3,572475,1363,0,noHate,"Welcome to Stormfront , the largest White Nationalist community on the web .",test
12845676_1,572363,1396,3,noHate,Only if they get their collective heads out of the punch bowl and wake up to what 's going on in the world .,train
12851205_2,576176,1346,2,noHate,It 's why they do n't take real ones seriously .,train
12858403_2,576069,1346,1,noHate,"He is the kind of anti-white , that will whine about ' anti-White racism ' , instead of just calling them ' anti-White ' .",train
12870177_3,572215,1346,1,noHate,Neither one is better than the other .,train
12872101_1,576121,1397,2,hate,And most people will laugh and shake their head at you when you tell them that Jews are a very dangerous group of people .,train
12873389_2,574987,1396,0,hate,"Thank you for your kind words , hope to meet you in the new white world one day soon .",train
12882281_1,577081,1345,0,hate,This family that wants to complain about gays should come to San Francisco and raise some hell at these gay pride events .... a much better target ..... and these people in San Francisco openly blasphemied Christ with their parody of ' The Last Supper `` as their poster for their last event .,test
12901653_1,578119,1345,0,hate,That or it might be that Blacks have smaller brains and an IQ 15-30 points lower than that of White people on average .,test
13059807_1,574041,1345,0,noHate,It will be the same here when the goodies run out .,train
13059807_3,574041,1345,1,hate,Are there any whites left in that craphole or have they all been killed ?,train
13196322_2,578970,1345,2,noHate,"Do ` F * ck with our families , buckwheat !!",test
13250684_1,575536,1345,0,hate,"There is no different versions of bad when it comes to race traitors , if you date a non white it is bad , no matter if the non-white is asian , black or arab.",train
13272218_2,573561,1345,2,hate,I ca n't fathom seeing all those brainless whites along with their negro counterparts worshipping Obama .,train
13284493_1,572180,1345,0,hate,She was probably the victim of a groid rage rape also .,train
13299159_1,579220,1345,2,hate,"Perhaps I should walk back into my H.S. when it starts Monday and get on the P.A. system and say I want to tie all * * * * * * s to the back of my car and drag them across the ground till they die , and then say I 'm joking .",test
13299159_2,579220,1345,2,hate,I hope I see the day when thease worthless pieces of crap are OUT OF HERE .,train
13330661_1,573895,1345,0,hate,"All the jews I have ever known will do anything for money , and all I can say is there are no good jews",train
13332658_1,579513,1345,2,hate,Let mother nature evolve these people naturally because no amount of money or aid is going to drag these ' things ' into the civilized world where they serve absolutely no purpose .,test
13394158_2,572043,1345,3,noHate,"I believe , judging from your other posts , that you belong more towards the back .",train
13398095_1,581200,1345,2,hate,And this is why SA went from First World under Botha 's rule ( deKlerk does n't count ) to a Third World begger horde .,train
13401479_1,581238,1345,3,hate,Just shows how thick they actually are one farmer-one bullet they will just end up starving and asking WHITES to feed them,train
13427417_1,579281,1347,0,noHate,Precisely!,train
13427417_3,579281,1347,3,hate,No doubt they 'll be coming up with chocolate-colored Leprechauns and a Chinese flavored Uncle Sam 's too .,test
13450081_1,576824,1347,1,hate,Whites in all their glory against impossibly large hordes of non-whites .,train
13452119_1,572977,1347,0,noHate,Very informative .,train
13455266_2,582376,1347,5,hate,The raw footage of these beasts in their moments of candor is so much more revealing and persuasive for helping our fellow white brothers and sisters see the truth than a thousand books could ever be .,train
13455360_1,572094,1347,0,hate,This disgusting negro makes us ( white people ) look bad .,train
13455360_2,572094,1347,3,hate,He should be flagged and reported. skyyjohn 's Channel - YouTube EstablishedMen.com sent me on a blind date !,train
13455420_3,577514,1347,0,noHate,It makes me tired .,train
13462130_2,572196,1346,0,hate,Maybe they will be resettled deliberately as refugees or maybe they will come for the women like the chinese men are doing .,test
13468931_1,583169,1346,1,hate,All i have to say is none of this crap that is happening in the world is going to change unless people on a large scale actually stand up and say no we have had enough and drag the scum in the streets and deal with them in a most violent way .,train
13473247_2,583605,1346,0,hate,"We all know that when their are too many ethnics , the neighbourhood soon turn 's into a slum .",test
13473247_5,583605,1346,0,hate,Soon in their minds it is ok to date them and have children with them thus polluting our great race and pushing us further toward extinction .,train
13473877_2,582995,1345,0,noHate,More black-on-white hate crime videos are posted here : http://ethniccrime.blogspot.com/p/ra...-on-video.html,test
13480152_1,580712,1346,0,hate,"Whites have the following Too many abortions , too many mixed marriages , too many no kids marriages , and too many liberals .",test
13480152_2,580712,1346,0,hate,We need to eliminate all of those elements from the white race .,train
13480579_1,575102,1346,0,hate,"just saw a hershey 's commercial on tv , ca n't find it on jewtube shows a White woman happily sharing candy with some mop headed groid male on an escalator guess I wo n't be buying that stuff ever again",train
13481672_2,584956,1345,0,hate,If they were jew pieces of garbage who the hell cares what happened to them .,train
13483062_1,575681,1346,1,hate,Sad it happens more and more they want to take ours but what do they think i want to date one of those negro women,train
13483920_2,577166,1347,0,noHate,I 'm glad we were able to get back to NS in the NS thread .,train
13492128_1,584092,1395,0,hate,"somebody``hcf''calledputin``ahero''!lololol!This``hero''finallytransformedformersovietjewnion in ``russian''judea!In this misery-torn country-are there-70 officially billionaries , tens f thousands millionaries , and tens of millions of poor and miserable who look for their pittance at the garbage places !",test
13498257_1,575763,1395,0,noHate,"Yes, she was born in Svrljig ( 11 .",train
13501160_2,586480,1395,0,noHate,"I have read a 70 -/ + million figure , 92.5 million figure and an estimate of over 100 million figure So I compromised at 90 .",train
13501185_1,575682,1345,1,hate,"they played this on fox news today.said she went ape schmidt , no pun intended , because they had no baffrooms.fox news sucks but at least people get a couple seconds of real news ......... secondly , ive never heard of a sheboon before.a new specie , from the chimpout family ?",train
13501379_1,586486,1395,0,hate,I think there is more threat from Russians than from Jews .,train
13501379_2,586486,1395,0,hate,There are really few Jews and millions of those bastards on the body of our country .,train
13501659_2,586411,1395,0,noHate,2508,train
13502945_1,586345,1395,0,hate,i hope our patriots will throu eggs at them and will say some thing like get out to the jungle or i think our coach will make them to go to the trainnig at minus - 30C or - 50F that they uuuu will never be able to play agane and will fly to africa after first tranning 2508,train
13503863_2,572475,1395,0,hate,"I could never picture the site of one of the women of the Holy Rus shacking up with some Islamic mud from that fithy , impoverished , and godforsaken mountainous * * * * hole !",test
13511770_1,575695,1345,0,noHate,"YouTube - Teacher Attacked for Being White 9 year old attacks white teacher , explicitly `` because she was white . ''",test
13573521_1,575672,1394,0,noHate,Yes he is very sick person with identity crisis who need therapy .,train
13584961_2,575355,1393,0,noHate,I do n't know about you but I rather fight a 2m swedish male than a 1.70m asian kung fu expert .,test
13585848_2,581214,1393,0,hate,Why on earth are the swedish parents letting their Kids grow up in an ethnic school !,train
13585848_3,581214,1393,0,noHate,That Ca n't be good !!,train
13587646_1,586175,1393,1,hate,So you would refuse even other Nordic whites fleeing the brown chaos in the south ?,test
13590627_2,586990,1393,0,hate,It does n't matter how you dress up a mud .,train
13590627_3,586990,1393,0,hate,A mud is a mud is a mud that 's all there is to it .,train
13591202_2,586693,1393,0,hate,"Yes Muslims do breed like vermin , i believe that 's part of their intention to breed out other races in order to make themselves the majority .",train
13591250_13,576390,1393,0,noHate,"Elected from the Fredericia district , in the Vejle region , she is the youngest member in the history of the Assembly .",train
13592619_1,589795,1393,0,hate,"I would like to say and I can proudly say that there are no jews in Iceland , those that tried to get here were all sent back to Germany ...",test
13592619_2,589795,1393,0,hate,Thank Odin they do n't try to come in the modern day .,train
13595169_1,579436,1393,0,noHate,When the homos tried to have a fag pride parade in Serbia a few years ago they were beaten up .,test
13614693_1,581214,1393,0,noHate,Shocking This is a similiar incident to that of a Boy in England recently who was killed by Muslims for wearing an England Shirt .,train
13615812_1,572266,1393,0,noHate,Some of them claim that they would like to go back home one day but after a few years in Finland they will no longer have this wish .,test
13621261_6,579371,1393,0,hate,"The Chechen beast was one of those who committed killing in the name of Allah against our Russian brothers , like the theater in Moskva .",train
13621261_7,579371,1393,0,hate,May they be put away for good .,train
13621261_8,579371,1393,0,hate,We do n't need such scum .,train
13621261_9,579371,1393,0,noHate,Wolf 278,test
13845939_1,584989,1391,0,hate,It made me sick looking at all the Blacks and Asians .,train
13845978_1,591076,1391,0,hate,oh dear isnt that terrible well i suppose they will just have to leave then and go somewhere they are more valued,train
13846211_1,587539,1391,0,hate,"If that Nigerian bitch thinks she will be elected in Tallaght , she is in for a rude awakening .",train
13846211_2,587539,1391,0,noHate,"Lynched perhaps , elected , no.",train
13850034_2,592500,1391,0,hate,It 'll be a welcome change to see a fellow WN from seeing hundreds of lefty bastards going to see RATM .,train
13850783_3,577024,1391,0,noHate,Now it is time to drive out all traitors !,train
13855833_1,577171,1391,1,hate,To hell with what this creature thinks anyway .,test
13855833_2,577171,1391,7,hate,Perhaps the proud indigenous inhabitants of Dublin do n't want their culture ' enriching ' ( ruining ) with tripe like this .,train
13856778_2,592674,1391,4,hate,"Its disgusting they these foreigners come over here , stamp their feet and jump above good Irish families and get what they want .",test
13856936_1,591103,1391,1,hate,Save Ireland has a job he works for MSI are you saying their is a more important job than trying to stop the Immigration invasion into Ireland ?,train
13858458_3,589338,1391,0,hate,Back to where ya came from !,test
13861494_2,586411,1391,0,noHate,Has it gone or can I just not find it ?,train
13862513_1,591076,1391,0,hate,i am just down the road to you.welcome to the board.it breaks my heart every time i go to Galway city and see the amount of blacks there.the other week i was walking down shop street and there was a moslem standing in the street selling copies of the koran,train
